# Digitised twisting moment of the hemisphere-on-block benchmark, taken from
#
#   B. K. Zimmerman and G. A. Ateshian, A surface-to-surface finite element
#   algorithm for large deformation frictional contact in FEBio, Journal of
#   Biomechanical Engineering, 140(8), 2018.
#   https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6056201/
#
# Copied unchanged (apart from this header) from
# solid-benchmarks/hyperElasticity/twistingHemisphere/data/febioMoment.dat
# (https://github.com/solids4foam/solid-benchmarks), where it was digitised
# with WebPlotDigitizer.
#
# Column 1: rotation angle of the hemisphere top surface (degrees)
# Column 2: twisting moment, reported at ten times the scale of the
#           solids4foam torque; divide by 10 to compare with the torque
#           about the y axis on the sphere-displacement patch
#
# In that work the indentation phase is frictionless, whereas friction is
# active throughout in this tutorial. The values also carry a digitisation
# uncertainty of roughly one percent.
0.28041731892184174, 0.02943342419720274
1.31556356965703, 0.10186205943135107
2.3507473305611413, 0.17710345719886522
3.3858935812963367, 0.24953209243301355
4.421061712963393, 0.3236015058116255
5.456229844630457, 0.39767091919023656
6.491372969518231, 0.46986515754660463
7.52661299567572, 0.5493256991141662
8.56187802861249, 0.6306614157039707
9.597052411974374, 0.7051996228381432
10.603783988403762, 0.7773938611945121
11.548084216763314, 0.8551415025013691
12.589325276838395, 0.9300956138391934
13.737709700136485, 1.0003345915734099
14.857231559277402, 1.0692179740311305
15.808024212782378, 1.1468424067227443
16.72384360306596, 1.2193942505721367
17.765040901277295, 1.2910668056210355
18.87900497767459, 1.3652299777507584
19.98314889184882, 1.4415808540730999
21.0970983809582, 1.514650174106515
22.166810043962734, 1.594032583381483
23.201931287918647, 1.6645860435933884
24.23705878356938, 1.7356082975608542
25.27221128599939, 1.808505726550564
26.341849804174537, 1.88240324888547
27.45043184459135, 1.9506764481889167
28.638589111512708, 2.0206661538588784
29.708242008585934, 2.095641901831574
30.743410140252983, 2.1697113152101863
31.813054284953473, 2.2440307519250964
32.968195092448404, 2.3173387305977067
34.12948934843188, 2.3820748864792436
35.40092505441478, 2.4474076889587666
36.47523319078524, 2.502179846653929
37.57933042563814, 2.5750303962680823
38.69323031796862, 2.644380619174048
39.93537289325814, 2.728826001009073
41.093526970294924, 2.793089811667204
42.27626792110919, 2.8546189920845633
43.458855705400374, 2.9046627254906823
44.641399727827825, 2.9514249026078754
45.79941401002211, 3.0052059640097157
47.06590763126784, 3.0692327733803126
48.164917792582536, 3.1299051029888973
49.37227053712447, 3.190568317163345
50.554858321415644, 3.2406120505694647
51.73748439733762, 3.2935271457283934
52.91993542580462, 3.333316015731619
54.102364573339734, 3.371464107590382
55.28491406600016, 3.4186364792436907
56.4674744991265, 3.4666292399692313
57.64995834899131, 3.508879277189151
58.832365615594576, 3.545386590903451
60.0147291203341, 3.578612348328825
61.196950399016465, 3.60117304781519
62.37925373119335, 3.6298866653432915
63.56160082523396, 3.6618818391603183
64.74388227647898, 3.688954678543956
65.92618560865586, 3.7176682960720573
67.10850535153165, 3.7476124972085056
68.29076492184478, 3.7730445584476806
69.47296978982826, 3.7943746743256987
70.65516918757876, 3.8152945956676008
71.83736311509628, 3.835804322473387
73.01955157238086, 3.8559038547430577
74.20161421430717, 3.866568912682067
75.38374249902907, 3.8821563050544645
76.5659583074785, 3.904306810004714
77.74815770522898, 3.925226731346616
78.93029693041686, 3.941634512791245
80.11234316164428, 3.951068987121907
81.29441127380355, 3.962144239597032
82.47639733246831, 3.9670665740304205
83.65831774833748, 3.9670665740304205
84.84033662840005, 3.9744500756805037
86.0223938000934, 3.9847049390833966
87.20445097178674, 3.99495980248629
88.38650267324712, 4.004804471353068
89.56854343424158, 4.013828751147614
90.750589665469, 4.023263225478275
91.93265777762826, 4.0343384779533995
93.11470947908865, 4.044183146820178
94.29669006752044, 4.04869528671745
95.47861048338962, 4.04869528671745
96.66049807786095, 4.046234119500756
97.8424896067587, 4.051566648470261
99.0245248975202, 4.060180733728691
100.20651642641792, 4.065513262698195
101.38843684228709, 4.065513262698195
102.57035725815626, 4.065513262698195
103.75227767402541, 4.065513262698195
104.93419808989458, 4.065513262698195
106.11611850576375, 4.065513262698195
107.2980389216329, 4.065513262698195
108.47995933750207, 4.065513262698195
109.66190710453606, 4.067564235378774
110.84394239529752, 4.076178320637204
112.0258956325645, 4.0786394878538985
113.20782151866663, 4.079049682390014
114.38986227966106, 4.08807396218456
115.57190304065551, 4.097098241979106
116.7538398672236, 4.098328825587454
117.93576028309275, 4.098328825587454
119.11768069896192, 4.098328825587454
120.29960111483109, 4.098328825587454
121.48146135813758, 4.0938166856901805
122.6632559586485, 4.084382211359519
123.8450560293924, 4.075357931564973
125.02686157036922, 4.066743846306542
126.20887498019886, 4.073717153420509
127.39086103886362, 4.0786394878538985
128.57278145473276, 4.0786394878538985
129.75470187060193, 4.0786394878538985
130.9366222864711, 4.0786394878538985
132.11854270234025, 4.0786394878538985
133.30045764797646, 4.078229293317783
134.48226865918627, 4.070025402595468
135.66412890249282, 4.065513262698195
136.84604931836196, 4.065513262698195
138.02796973423114, 4.065513262698195
139.2098901501003, 4.065513262698195
140.39181056596945, 4.065513262698195
141.57373098183862, 4.065513262698195
142.7556513977078, 4.065513262698195
143.93757181357694, 4.065513262698195
145.1194922294461, 4.065513262698195
146.30141264531528, 4.065513262698195
147.48333306118442, 4.065513262698195
148.6652534770536, 4.065513262698195
149.84725594641728, 4.071666180739931
151.02926935624686, 4.0786394878538985
152.21118977211603, 4.0786394878538985
153.3931101879852, 4.0786394878538985
154.57503060385434, 4.0786394878538985
155.75690725785978, 4.075357931564972
156.93870732860367, 4.066333651770426
158.1206168040069, 4.065513262698195
159.30253721987606, 4.065513262698195
160.48445763574523, 4.065513262698195
161.66637805161437, 4.065513262698195
162.84829846748354, 4.065513262698195
164.03021888335272, 4.065513262698195
