# Time forceX forceY forceZ normalForce
0 0 0 0 0
0.001 5.00749e+07 -44140.3 -0.0199116 -40497.3
0.002 1.00569e+08 -28460.9 0.0815813 -13693.7
0.003 1.5128e+08 43453.3 0.108159 77287.5
0.004 2.02122e+08 171115 0.110371 232187
0.005 2.5304e+08 354129 0.114406 450712
0.006 3.04009e+08 592237 0.123117 732654
0.007 3.53198e+08 837383 -0.0227399 1.02007e+06
0.008 3.98626e+08 1.04929e+06 -0.00715846 1.26565e+06
0.009 4.3369e+08 1.47064e+06 -0.0214515 1.71817e+06
0.01 4.52881e+08 1.97909e+06 -0.0227729 2.2595e+06
0.011 4.64387e+08 2.30017e+06 -0.0241831 2.61114e+06
0.012 4.7052e+08 2.62468e+06 0.00196026 2.96736e+06
0.013 4.7475e+08 3.06951e+06 0.0148351 3.44669e+06
0.014 4.76403e+08 3.55223e+06 0.0212563 3.97464e+06
0.015 4.77888e+08 4.00304e+06 0.0198833 4.47722e+06
0.016 4.79559e+08 4.51644e+06 0.0183702 5.04659e+06
0.017 4.81183e+08 5.07471e+06 0.0174397 5.66386e+06
0.018 4.82683e+08 5.67258e+06 0.0161 6.32308e+06
0.019 4.83929e+08 6.33058e+06 0.0110647 7.04323e+06
0.02 4.85e+08 6.9931e+06 0.00868575 7.76882e+06
0.021 4.85969e+08 7.68069e+06 0.0110639 8.52063e+06
0.022 4.86826e+08 8.19547e+06 0.0102806 9.1006e+06
0.023 4.8757e+08 8.69394e+06 0.0111994 9.665e+06
0.024 4.88197e+08 9.42888e+06 -0.00243488 1.04664e+07
0.025 4.88718e+08 1.01274e+07 -0.0129336 1.12317e+07
0.026 4.89148e+08 1.0864e+07 -0.0207076 1.20352e+07
0.027 4.89503e+08 1.16406e+07 -0.00394316 1.28788e+07
0.028 4.89806e+08 1.25349e+07 -0.00151147 1.38402e+07
0.029 4.90082e+08 1.3434e+07 0.00134251 1.48065e+07
0.03 4.90343e+08 1.43434e+07 0.0128596 1.57832e+07
0.031 4.90596e+08 1.52655e+07 0.0250252 1.67727e+07
0.032 4.90842e+08 1.62011e+07 0.0301674 1.7776e+07
0.033 4.91082e+08 1.71507e+07 0.030798 1.87935e+07
0.034 4.91316e+08 1.81144e+07 0.0302241 1.9825e+07
0.035 4.91542e+08 1.90919e+07 0.0296871 2.08705e+07
0.036 4.91762e+08 2.0083e+07 0.0293148 2.19297e+07
