# Time	forces(pressure, viscous) moment(pressure, viscous)
0.00075	(((0.0239569 0.0239569 -0.000351473) (-6.77277e-07 -6.77335e-07 0.000176417)) ((-3.33681e-05 -0.000107221 -0.00958276) (-1.70662e-05 8.76331e-05 2.70939e-07)))
0.000775	(((0.0246491 0.0246491 -0.000365096) (-6.41617e-07 -6.41677e-07 0.000182986)) ((-3.53317e-05 -0.000110707 -0.00985963) (-1.77014e-05 9.08958e-05 2.56677e-07)))
0.0008	(((0.0253523 0.0253523 -0.000378614) (-6.04798e-07 -6.04861e-07 0.000189582)) ((-3.74236e-05 -0.000114022 -0.0101409) (-1.83394e-05 9.41722e-05 2.4195e-07)))
0.000825	(((0.0260616 0.0260616 -0.000391876) (-5.67098e-07 -5.67164e-07 0.000196205)) ((-3.96451e-05 -0.000117105 -0.0104247) (-1.89799e-05 9.74617e-05 2.26872e-07)))
0.00085	(((0.0267734 0.0267734 -0.000404755) (-5.28811e-07 -5.28879e-07 0.000202853)) ((-4.1999e-05 -0.000119903 -0.0107094) (-1.96228e-05 0.000100764 2.11558e-07)))
0.000875	(((0.027486 0.027486 -0.000417163) (-4.90215e-07 -4.90286e-07 0.000209528)) ((-4.44914e-05 -0.000122374 -0.0109944) (-2.02683e-05 0.000104079 1.96121e-07)))
0.0009	(((0.0281993 0.0281993 -0.000429065) (-4.5155e-07 -4.51623e-07 0.000216228)) ((-4.71275e-05 -0.000124498 -0.0112797) (-2.09162e-05 0.000107407 1.80656e-07)))
0.000925	(((0.0289143 0.0289143 -0.000440473) (-4.13001e-07 -4.13077e-07 0.000222952)) ((-4.99102e-05 -0.000126279 -0.0115657) (-2.15665e-05 0.000110747 1.65238e-07)))
0.00095	(((0.0296326 0.0296326 -0.000451439) (-3.74703e-07 -3.74781e-07 0.0002297)) ((-5.28393e-05 -0.000127736 -0.011853) (-2.22191e-05 0.000114099 1.4992e-07)))
0.000975	(((0.0303561 0.0303561 -0.000462039) (-3.36737e-07 -3.36817e-07 0.000236472)) ((-5.59123e-05 -0.000128903 -0.0121424) (-2.28739e-05 0.000117463 1.34735e-07)))
0.001	(((0.0310865 0.0310865 -0.000472352) (-2.9915e-07 -2.99232e-07 0.000243265)) ((-5.91247e-05 -0.000129816 -0.0124346) (-2.35308e-05 0.000120837 1.19701e-07)))
0.001025	(((0.0318251 0.0318251 -0.000482448) (-2.61964e-07 -2.62049e-07 0.000250077)) ((-6.24715e-05 -0.000130508 -0.01273) (-2.41896e-05 0.000124221 1.04828e-07)))
0.00105	(((0.0325726 0.0325726 -0.000492374) (-2.25195e-07 -2.25282e-07 0.000256908)) ((-6.59488e-05 -0.000131001 -0.013029) (-2.485e-05 0.000127613 9.01211e-08)))
0.001075	(((0.0333289 0.0333289 -0.000502153) (-1.8886e-07 -1.88949e-07 0.000263754)) ((-6.95543e-05 -0.000131307 -0.0133316) (-2.55121e-05 0.000131014 7.55883e-08)))
0.0011	(((0.0340936 0.0340936 -0.000511777) (-1.52992e-07 -1.53083e-07 0.000270615)) ((-7.32882e-05 -0.000131423 -0.0136375) (-2.61754e-05 0.000134421 6.1242e-08)))
0.001125	(((0.034866 0.034866 -0.000521219) (-1.17639e-07 -1.17732e-07 0.000277487)) ((-7.71527e-05 -0.000131335 -0.0139464) (-2.684e-05 0.000137835 4.71016e-08)))
0.00115	(((0.0356451 0.035645 -0.000530438) (-8.2866e-08 -8.29607e-08 0.000284371)) ((-8.11511e-05 -0.000131024 -0.014258) (-2.75056e-05 0.000141254 3.31934e-08)))
0.001175	(((0.0364296 0.0364296 -0.000539389) (-4.87529e-08 -4.88494e-08 0.000291265)) ((-8.52877e-05 -0.000130468 -0.0145719) (-2.81721e-05 0.000144678 1.95491e-08)))
0.0012	(((0.0372189 0.0372189 -0.00054803) (-1.53853e-08 -1.54835e-08 0.000298168)) ((-8.95661e-05 -0.000129646 -0.0148876) (-2.88396e-05 0.000148107 6.20291e-09)))
0.001225	(((0.0380121 0.0380121 -0.000556334) (1.71504e-08 1.70505e-08 0.000305079)) ((-9.39892e-05 -0.000128544 -0.0152048) (-2.95078e-05 0.00015154 -6.81055e-09)))
0.00125	(((0.0388088 0.0388088 -0.000564286) (4.87744e-08 4.86729e-08 0.000311999)) ((-9.85585e-05 -0.000127156 -0.0155235) (-3.01768e-05 0.000154976 -1.94593e-08)))
0.001275	(((0.0396088 0.0396088 -0.000571887) (7.9418e-08 7.93148e-08 0.000318925)) ((-0.000103274 -0.000125481 -0.0158435) (-3.08465e-05 0.000158417 -3.17159e-08)))
0.0013	(((0.0404122 0.0404122 -0.000579151) (1.09027e-07 1.08922e-07 0.000325858)) ((-0.000108135 -0.000123525 -0.0161649) (-3.15168e-05 0.00016186 -4.35587e-08)))
0.001325	(((0.0412192 0.0412192 -0.0005861) (1.37562e-07 1.37456e-07 0.000332797)) ((-0.00011314 -0.0001213 -0.0164877) (-3.21876e-05 0.000165306 -5.4972e-08)))
0.00135	(((0.0420301 0.0420301 -0.000592762) (1.64998e-07 1.6489e-07 0.00033974)) ((-0.000118287 -0.000118818 -0.016812) (-3.28589e-05 0.000168755 -6.59456e-08)))
0.001375	(((0.042845 0.042845 -0.000599164) (1.91321e-07 1.91212e-07 0.000346687)) ((-0.000123573 -0.000116092 -0.017138) (-3.35305e-05 0.000172205 -7.64741e-08)))
0.0014	(((0.0436642 0.0436642 -0.000605326) (2.16527e-07 2.16416e-07 0.000353636)) ((-0.000128998 -0.000113132 -0.0174657) (-3.42023e-05 0.000175657 -8.65557e-08)))
0.001425	(((0.0444877 0.0444877 -0.000611265) (2.40616e-07 2.40503e-07 0.000360586)) ((-0.000134561 -0.000109945 -0.0177951) (-3.48743e-05 0.000179109 -9.61903e-08)))
0.00145	(((0.0453154 0.0453154 -0.000616988) (2.63589e-07 2.63475e-07 0.000367537)) ((-0.000140261 -0.000106534 -0.0181262) (-3.55463e-05 0.000182561 -1.05379e-07)))
0.001475	(((0.0461471 0.0461471 -0.000622497) (2.8545e-07 2.85334e-07 0.000374488)) ((-0.000146098 -0.000102901 -0.0184588) (-3.62182e-05 0.000186013 -1.14122e-07)))
0.0015	(((0.0469825 0.0469825 -0.000627788) (3.06201e-07 3.06083e-07 0.000381437)) ((-0.000152073 -9.90422e-05 -0.018793) (-3.689e-05 0.000189465 -1.22422e-07)))
0.001525	(((0.0478212 0.0478212 -0.000632855) (3.25841e-07 3.25721e-07 0.000388383)) ((-0.000158186 -9.4956e-05 -0.0191285) (-3.75616e-05 0.000192915 -1.30277e-07)))
0.00155	(((0.048663 0.048663 -0.000637692) (3.44371e-07 3.4425e-07 0.000395327)) ((-0.000164438 -9.06387e-05 -0.0194652) (-3.82328e-05 0.000196364 -1.37688e-07)))
0.001575	(((0.0495074 0.0495074 -0.000642292) (3.61792e-07 3.61669e-07 0.000402267)) ((-0.000170829 -8.60879e-05 -0.019803) (-3.89037e-05 0.000199811 -1.44656e-07)))
0.0016	(((0.0503543 0.0503543 -0.000646656) (3.78104e-07 3.77979e-07 0.000409203)) ((-0.00017736 -8.13029e-05 -0.0201417) (-3.95742e-05 0.000203255 -1.5118e-07)))
0.001625	(((0.0512034 0.0512034 -0.000650785) (3.93312e-07 3.93185e-07 0.000416134)) ((-0.00018403 -7.62844e-05 -0.0204814) (-4.02442e-05 0.000206698 -1.57262e-07)))
0.00165	(((0.0520547 0.0520547 -0.000654684) (4.07423e-07 4.07294e-07 0.000423059)) ((-0.000190838 -7.10351e-05 -0.0208219) (-4.09137e-05 0.000210137 -1.62905e-07)))
0.001675	(((0.0529054 0.0529054 -0.000658386) (4.20452e-07 4.20322e-07 0.000429978)) ((-0.000197755 -6.55991e-05 -0.0211621) (-4.15826e-05 0.000213574 -1.68116e-07)))
0.0017	(((0.0537574 0.0537574 -0.000661882) (4.32415e-07 4.32283e-07 0.000436891)) ((-0.000204801 -5.99515e-05 -0.0215029) (-4.22508e-05 0.000217007 -1.729e-07)))
0.001725	(((0.0546122 0.0546122 -0.00066517) (4.43326e-07 4.43192e-07 0.000443796)) ((-0.000211994 -5.40743e-05 -0.0218449) (-4.29183e-05 0.000220437 -1.77264e-07)))
0.00175	(((0.0554702 0.0554702 -0.000668258) (4.53208e-07 4.53073e-07 0.000450694)) ((-0.000219335 -4.79678e-05 -0.0221881) (-4.3585e-05 0.000223863 -1.81216e-07)))
0.001775	(((0.0563311 0.0563311 -0.000671158) (4.62086e-07 4.6195e-07 0.000457583)) ((-0.000226824 -4.16394e-05 -0.0225324) (-4.4251e-05 0.000227284 -1.84767e-07)))
0.0018	(((0.0571944 0.0571944 -0.00067388) (4.69987e-07 4.69849e-07 0.000464463)) ((-0.000234454 -3.50976e-05 -0.0228777) (-4.4916e-05 0.000230701 -1.87926e-07)))
0.001825	(((0.0580596 0.0580596 -0.000676434) (4.76936e-07 4.76797e-07 0.000471334)) ((-0.000242222 -2.83515e-05 -0.0232238) (-4.55802e-05 0.000234114 -1.90705e-07)))
0.00185	(((0.0589263 0.0589263 -0.000678827) (4.82964e-07 4.82823e-07 0.000478195)) ((-0.000250122 -2.14092e-05 -0.0235705) (-4.62434e-05 0.000237521 -1.93116e-07)))
0.001875	(((0.059794 0.059794 -0.000681066) (4.88098e-07 4.87956e-07 0.000485045)) ((-0.000258151 -1.42759e-05 -0.0239176) (-4.69055e-05 0.000240924 -1.95169e-07)))
0.0019	(((0.0606626 0.0606626 -0.000683153) (4.92369e-07 4.92226e-07 0.000491884)) ((-0.000266307 -6.95374e-06 -0.0242651) (-4.75666e-05 0.00024432 -1.96876e-07)))
0.001925	(((0.0615321 0.0615321 -0.00068509) (4.95806e-07 4.95661e-07 0.000498712)) ((-0.000274593 5.57543e-07 -0.0246128) (-4.82266e-05 0.000247711 -1.9825e-07)))
0.00195	(((0.0624025 0.0624025 -0.000686878) (4.98439e-07 4.98293e-07 0.000505528)) ((-0.00028301 8.25884e-06 -0.024961) (-4.88854e-05 0.000251097 -1.99303e-07)))
0.001975	(((0.0632738 0.0632738 -0.00068852) (5.00299e-07 5.00152e-07 0.000512332)) ((-0.000291559 1.61506e-05 -0.0253095) (-4.95431e-05 0.000254476 -2.00046e-07)))
0.002	(((0.0641459 0.0641459 -0.00069002) (5.01415e-07 5.01267e-07 0.000519123)) ((-0.00030024 2.42319e-05 -0.0256584) (-5.01995e-05 0.000257849 -2.00492e-07)))
0.002025	(((0.0650189 0.0650189 -0.000691383) (5.01819e-07 5.0167e-07 0.000525901)) ((-0.000309054 3.25007e-05 -0.0260076) (-5.08547e-05 0.000261215 -2.00653e-07)))
0.00205	(((0.0658927 0.0658927 -0.000692614) (5.01542e-07 5.01391e-07 0.000532666)) ((-0.000317999 4.09536e-05 -0.0263571) (-5.15086e-05 0.000264575 -2.00542e-07)))
0.002075	(((0.066767 0.066767 -0.00069372) (5.00615e-07 5.00463e-07 0.000539417)) ((-0.000327075 4.95869e-05 -0.0267068) (-5.21611e-05 0.000267928 -2.0017e-07)))
0.0021	(((0.0676417 0.0676417 -0.000694707) (4.9907e-07 4.98917e-07 0.000546154)) ((-0.00033628 5.83968e-05 -0.0270567) (-5.28123e-05 0.000271274 -1.99552e-07)))
0.002125	(((0.0685169 0.0685169 -0.000695582) (4.96941e-07 4.96787e-07 0.000552877)) ((-0.000345613 6.73799e-05 -0.0274068) (-5.34621e-05 0.000274613 -1.987e-07)))
0.00215	(((0.0693924 0.0693924 -0.00069635) (4.9426e-07 4.94104e-07 0.000559585)) ((-0.000355073 7.65333e-05 -0.0277569) (-5.41105e-05 0.000277945 -1.97626e-07)))
0.002175	(((0.0702681 0.0702681 -0.000697015) (4.91058e-07 4.90901e-07 0.000566278)) ((-0.00036466 8.58545e-05 -0.0281072) (-5.47575e-05 0.000281269 -1.96345e-07)))
0.0022	(((0.071144 0.071144 -0.000697582) (4.87369e-07 4.8721e-07 0.000572956)) ((-0.000374374 9.53415e-05 -0.0284576) (-5.54029e-05 0.000284585 -1.94869e-07)))
0.002225	(((0.0720201 0.0720201 -0.000698056) (4.83222e-07 4.83062e-07 0.000579618)) ((-0.000384215 0.000104992 -0.0288081) (-5.60469e-05 0.000287894 -1.93209e-07)))
0.00225	(((0.0728963 0.0728963 -0.000698439) (4.78647e-07 4.78486e-07 0.000586264)) ((-0.000394181 0.000114805 -0.0291585) (-5.66893e-05 0.000291195 -1.91379e-07)))
0.002275	(((0.0737726 0.0737726 -0.000698736) (4.73676e-07 4.73513e-07 0.000592894)) ((-0.000404273 0.000124778 -0.029509) (-5.73301e-05 0.000294488 -1.89389e-07)))
0.0023	(((0.0746487 0.0746487 -0.000698951) (4.68335e-07 4.68171e-07 0.000599507)) ((-0.000414489 0.000134909 -0.0298595) (-5.79694e-05 0.000297772 -1.87252e-07)))
0.002325	(((0.0755248 0.0755248 -0.000699086) (4.62654e-07 4.62488e-07 0.000606104)) ((-0.00042483 0.000145196 -0.0302099) (-5.86069e-05 0.000301048 -1.84979e-07)))
0.00235	(((0.0764007 0.0764007 -0.000699145) (4.56659e-07 4.56491e-07 0.000612682)) ((-0.000435294 0.000155636 -0.0305603) (-5.92428e-05 0.000304316 -1.8258e-07)))
0.002375	(((0.0772763 0.0772763 -0.000699133) (4.50377e-07 4.50208e-07 0.000619243)) ((-0.000445881 0.000166228 -0.0309105) (-5.9877e-05 0.000307574 -1.80067e-07)))
0.0024	(((0.0781517 0.0781517 -0.000699053) (4.43833e-07 4.43663e-07 0.000625786)) ((-0.00045659 0.000176969 -0.0312607) (-6.05094e-05 0.000310824 -1.77449e-07)))
0.002425	(((0.0790266 0.0790266 -0.000698908) (4.37054e-07 4.36882e-07 0.00063231)) ((-0.00046742 0.000187857 -0.0316107) (-6.114e-05 0.000314064 -1.74736e-07)))
0.00245	(((0.0799012 0.0799012 -0.000698703) (4.30064e-07 4.2989e-07 0.000638814)) ((-0.00047837 0.000198889 -0.0319605) (-6.17687e-05 0.000317294 -1.71939e-07)))
0.002475	(((0.0807753 0.0807753 -0.000698441) (4.22886e-07 4.2271e-07 0.000645298)) ((-0.00048944 0.000210063 -0.0323101) (-6.23954e-05 0.000320515 -1.69067e-07)))
0.0025	(((0.0816489 0.0816489 -0.000698124) (4.15543e-07 4.15366e-07 0.000651761)) ((-0.000500627 0.000221377 -0.0326596) (-6.30201e-05 0.000323725 -1.66129e-07)))
0.002525	(((0.082522 0.082522 -0.000697758) (4.08058e-07 4.0788e-07 0.000658203)) ((-0.000511932 0.000232828 -0.0330088) (-6.36428e-05 0.000326924 -1.63135e-07)))
0.00255	(((0.0833945 0.0833945 -0.000697345) (4.00454e-07 4.00274e-07 0.000664621)) ((-0.000523352 0.000244414 -0.0333578) (-6.42632e-05 0.000330112 -1.60092e-07)))
0.002575	(((0.0842663 0.0842663 -0.000696887) (3.92749e-07 3.92568e-07 0.000671016)) ((-0.000534887 0.000256132 -0.0337065) (-6.48813e-05 0.000333288 -1.57009e-07)))
0.0026	(((0.0851374 0.0851374 -0.000696389) (3.84966e-07 3.84783e-07 0.000677386)) ((-0.000546535 0.000267979 -0.034055) (-6.5497e-05 0.000336451 -1.53895e-07)))
0.002625	(((0.0860077 0.0860077 -0.000695852) (3.77122e-07 3.76938e-07 0.000683729)) ((-0.000558294 0.000279953 -0.0344031) (-6.61101e-05 0.000339602 -1.50757e-07)))
0.00265	(((0.0868773 0.0868773 -0.000695279) (3.69237e-07 3.69051e-07 0.000690044)) ((-0.000570163 0.000292051 -0.0347509) (-6.67205e-05 0.000342738 -1.47602e-07)))
0.002675	(((0.087746 0.087746 -0.000694674) (3.61327e-07 3.61141e-07 0.000696329)) ((-0.00058214 0.00030427 -0.0350984) (-6.7328e-05 0.000345859 -1.44438e-07)))
0.0027	(((0.0886137 0.0886137 -0.000694038) (3.5341e-07 3.53223e-07 0.000702582)) ((-0.000594223 0.000316608 -0.0354455) (-6.79324e-05 0.000348965 -1.41271e-07)))
0.002725	(((0.0894805 0.0894805 -0.000693374) (3.45503e-07 3.45315e-07 0.000708801)) ((-0.00060641 0.00032906 -0.0357922) (-6.85336e-05 0.000352054 -1.38107e-07)))
0.00275	(((0.0903462 0.0903462 -0.000692685) (3.37621e-07 3.37432e-07 0.000714983)) ((-0.000618699 0.000341625 -0.0361385) (-6.91312e-05 0.000355124 -1.34954e-07)))
0.002775	(((0.0912109 0.0912109 -0.000691972) (3.29779e-07 3.29589e-07 0.000721127)) ((-0.000631087 0.000354298 -0.0364844) (-6.9725e-05 0.000358176 -1.31817e-07)))
0.0028	(((0.0920744 0.0920744 -0.000691238) (3.21993e-07 3.21802e-07 0.000727229)) ((-0.000643573 0.000367077 -0.0368298) (-7.03148e-05 0.000361206 -1.28702e-07)))
0.002825	(((0.0929368 0.0929368 -0.000690486) (3.14276e-07 3.14085e-07 0.000733286)) ((-0.000656153 0.000379959 -0.0371747) (-7.09003e-05 0.000364215 -1.25615e-07)))
0.00285	(((0.0937979 0.0937979 -0.000689716) (3.06643e-07 3.06451e-07 0.000739296)) ((-0.000668827 0.00039294 -0.0375192) (-7.14812e-05 0.000367199 -1.22562e-07)))
0.002875	(((0.0946578 0.0946578 -0.000688932) (2.99106e-07 2.98915e-07 0.000745254)) ((-0.00068159 0.000406017 -0.0378631) (-7.20571e-05 0.000370159 -1.19547e-07)))
0.0029	(((0.0955163 0.0955163 -0.000688135) (2.91679e-07 2.91488e-07 0.000751158)) ((-0.00069444 0.000419186 -0.0382065) (-7.26278e-05 0.000373091 -1.16576e-07)))
0.002925	(((0.0963734 0.0963734 -0.000687327) (2.84375e-07 2.84184e-07 0.000757004)) ((-0.000707376 0.000432445 -0.0385494) (-7.31929e-05 0.000375994 -1.13655e-07)))
0.00295	(((0.0972292 0.0972292 -0.00068651) (2.77206e-07 2.77015e-07 0.000762788)) ((-0.000720395 0.000445791 -0.0388917) (-7.3752e-05 0.000378867 -1.10787e-07)))
0.002975	(((0.0980835 0.0980835 -0.000685686) (2.70183e-07 2.69992e-07 0.000768507)) ((-0.000733495 0.00045922 -0.0392334) (-7.43048e-05 0.000381708 -1.07978e-07)))
0.003	(((0.0989363 0.0989363 -0.000684856) (2.63318e-07 2.63127e-07 0.000774157)) ((-0.000746672 0.00047273 -0.0395745) (-7.48509e-05 0.000384514 -1.05232e-07)))
0.003025	(((0.098834 0.098834 -0.000629763) (3.0366e-07 3.03469e-07 0.000778832)) ((-0.000763747 0.000511842 -0.0395336) (-7.53027e-05 0.000386836 -1.21369e-07)))
0.00305	(((0.0978221 0.0978221 -0.0005286) (3.46622e-07 3.46431e-07 0.000782203)) ((-0.000783442 0.000572002 -0.0391288) (-7.56284e-05 0.00038851 -1.38554e-07)))
0.003075	(((0.0962638 0.0962638 -0.000404008) (3.88678e-07 3.88487e-07 0.000784104)) ((-0.000804034 0.000642431 -0.0385055) (-7.58119e-05 0.000389453 -1.55376e-07)))
0.0031	(((0.0944224 0.0944224 -0.000269962) (4.29148e-07 4.2896e-07 0.000784459)) ((-0.000824807 0.000716822 -0.0377689) (-7.58459e-05 0.00038963 -1.71566e-07)))
0.003125	(((0.0934206 0.0934206 -0.000186246) (4.19005e-07 4.18822e-07 0.000784158)) ((-0.00084201 0.000767511 -0.0373682) (-7.58164e-05 0.00038948 -1.67511e-07)))
0.00315	(((0.0933018 0.0933018 -0.000147952) (4.01785e-07 4.01609e-07 0.000783549)) ((-0.00085689 0.00079771 -0.0373207) (-7.57571e-05 0.000389177 -1.60626e-07)))
0.003175	(((0.0937241 0.0937241 -0.000133783) (3.81038e-07 3.8087e-07 0.000782826)) ((-0.000871141 0.000817627 -0.0374896) (-7.56869e-05 0.000388817 -1.52331e-07)))
0.0032	(((0.0943877 0.0943877 -0.000129381) (3.57781e-07 3.57622e-07 0.000782087)) ((-0.00088534 0.000833588 -0.0377551) (-7.56152e-05 0.00038845 -1.43033e-07)))
0.003225	(((0.0950815 0.0950815 -0.000126127) (3.33193e-07 3.33042e-07 0.000781346)) ((-0.000899661 0.00084921 -0.0380326) (-7.55433e-05 0.000388082 -1.33202e-07)))
0.00325	(((0.0956763 0.0956763 -0.00011977) (3.07159e-07 3.07018e-07 0.000780557)) ((-0.000914002 0.000866095 -0.0382705) (-7.54668e-05 0.00038769 -1.22793e-07)))
0.003275	(((0.096137 0.096137 -0.000109812) (2.79178e-07 2.79047e-07 0.000779642)) ((-0.000928231 0.000884306 -0.0384548) (-7.53782e-05 0.000387235 -1.11606e-07)))
0.0033	(((0.0964881 0.0964881 -9.81197e-05) (2.49074e-07 2.48953e-07 0.00077853)) ((-0.0009421 0.000902852 -0.0385953) (-7.52705e-05 0.000386683 -9.9569e-08)))
0.003325	(((0.0967821 0.0967821 -8.67872e-05) (2.17056e-07 2.16944e-07 0.00077718)) ((-0.000955546 0.000920831 -0.0387128) (-7.51397e-05 0.000386012 -8.67665e-08)))
0.00335	(((0.0970644 0.0970644 -7.69088e-05) (1.8355e-07 1.83447e-07 0.00077559)) ((-0.000968697 0.000937933 -0.0388258) (-7.49858e-05 0.000385222 -7.33682e-08)))
