# Digitised vertical contact force during the twisting phase of the
# hemisphere-on-block benchmark, taken from
#
#   R. A. Sauer and L. De Lorenzis, An unbiased computational contact
#   formulation for 3D friction, International Journal for Numerical Methods
#   in Engineering, 101(4), 251-280, 2015. doi:10.1002/nme.4794
#
# Copied unchanged (apart from this header) from
# solid-benchmarks/hyperElasticity/twistingHemisphere/data/deLorenzisForce.dat
# (https://github.com/solids4foam/solid-benchmarks), where it was digitised
# with WebPlotDigitizer.
#
# Column 1: rotation angle of the hemisphere top surface (degrees)
# Column 2: vertical contact force, in the same units as the solids4foam
#           force on the sphere-displacement patch (-forceY)
#
# In that work the indentation phase is frictionless, whereas friction is
# active throughout in this tutorial, so the curves are not expected to
# coincide exactly.
# The values also carry a digitisation uncertainty of roughly one percent.
0, 1.229543367410304
1.7908007943279252, 1.2295921844369397
3.8333826800987225, 1.229707959952812
5.876097687078982, 1.229942479587528
7.918909206936103, 1.2302630887084054
9.961830551791035, 1.2306816617273286
12.004781848918096, 1.2311269521729915
14.04781634680107, 1.2316464576929318
16.090987293923753, 1.2322876759346866
18.134284706195423, 1.2330417010893426
20.17757546240663, 1.2337897890380565
22.220952747403977, 1.2346150606640187
24.26447646573174, 1.2355709508207087
26.30801016815022, 1.2365357467863118
28.35173024026195, 1.237666784518296
30.39540704798059, 1.238759230411656
32.43916705645516, 1.2399258913792932
34.48301692174612, 1.2411727046271497
36.52692003552086, 1.2424670155225435
38.57094295838412, 1.2438681961248965
40.615005817610225, 1.2453049999629027
42.65906202077585, 1.2467358665949664
44.65890248965031, 1.2481606546590418
46.56154788300685, 1.2496430194845518
48.380818817287164, 1.2510579962786073
50.1317414165712, 1.2525257360844173
51.95107053883281, 1.2539926165577884
53.77046709749658, 1.2555196503018893
55.48236521422572, 1.2570458247135512
57.194182407272265, 1.2584998152003373
59.013476847955616, 1.2599357597059042
60.91613304948655, 1.261427765422968
62.871844312856, 1.2629236585963033
64.81871030576696, 1.2644164418046213
66.81851480021933, 1.2658091406841998
68.86246450641738, 1.267145012021189
70.90639757246426, 1.2684660403433226
72.95025742184593, 1.2697217594000922
74.99388763714126, 1.270772644851857
77.03744463577138, 1.2717582210382579
79.08093174576653, 1.272681456562266
81.12425911031033, 1.2734621991436617
83.16747664985633, 1.2741449778270117
85.21062762879758, 1.2747683844509399
87.2538285281924, 1.2754363201194345
89.29691627455917, 1.2760033232869121
91.34003730122829, 1.2766000124841006
93.38315499986723, 1.2771937330783178
95.42620613790139, 1.2777280816131136
97.46926393199603, 1.2782683673538513
99.51232838215114, 1.2788145903005315
101.5552530550363, 1.2792361319224257
103.59802463853057, 1.27952111780765
105.640826174297, 1.2798328211196142
107.68361106991223, 1.280129681416723
109.726445885981, 1.280471070758398
111.76917753311243, 1.2807204334079691
113.8119823969091, 1.2810351053229043
115.85478393267552, 1.2813468086348685
117.89764204495596, 1.2817089781973412
119.94043026860142, 1.282008807097421
121.98340818997032, 1.2824778463668527
124.0264493439138, 1.283003289092735
126.06958035467365, 1.2836088840988367
128.1126314927078, 1.2841432326336324
130.1556793027117, 1.284674612565457
132.19862727180856, 1.2851169344081488
134.24155194469375, 1.2855384760300432
136.2846064107581, 1.28607579316781
138.32758100409683, 1.2865418638342705
140.37060218985886, 1.2870494949423263
142.4136133915302, 1.287548220241469
144.45660129698985, 1.288026165319814
146.49953928199596, 1.2884595813535926
148.5424439866997, 1.2888633113576604
150.58533537928253, 1.289255166949844
152.6282633801979, 1.2896796771747094
154.6710349636922, 1.2899646630599337
156.71377992294458, 1.2902259001213894
158.75638177689683, 1.2903594872550883
160.79891707024427, 1.2904337023293655
162.84143239541038, 1.290490105785816
164.88389114406237, 1.2904960429917582
166.92633990862373, 1.2904930743887872
168.96858233531037, 1.2903060524016088
171.01077151351325, 1.2900715327668928
173.05285419474853, 1.2897420178371022
175.09500343658857, 1.2894718749667333
177.13701290115864, 1.2890770507715787
179.1790623020916, 1.2887178498120773
180.7386318506791, 1.2886097926639297
