Time outerCorrector residual
0.000425 10 3.06157e-06
0.000425 11 1.57449e-06
0.000425 12 8.14582e-07
0.00045 1 0.00219744
0.00045 2 0.00094929
0.00045 3 0.000429477
0.00045 4 0.00020088
0.00045 5 9.63499e-05
0.00045 6 4.71181e-05
0.00045 7 2.33942e-05
0.00045 8 1.17551e-05
0.00045 9 5.96368e-06
0.00045 10 3.04927e-06
0.00045 11 1.56936e-06
0.00045 12 8.12371e-07
0.000475 1 0.00205916
0.000475 2 0.000901991
0.000475 3 0.000412923
0.000475 4 0.000194978
0.000475 5 9.42163e-05
0.000475 6 4.63408e-05
0.000475 7 2.31116e-05
0.000475 8 1.1654e-05
0.000475 9 5.92897e-06
0.000475 10 3.03838e-06
0.000475 11 1.56665e-06
0.000475 12 8.12212e-07
0.0005 1 0.00190483
0.0005 2 0.000844313
0.0005 3 0.000390611
0.0005 4 0.000186066
0.0005 5 9.05476e-05
0.0005 6 4.47887e-05
0.0005 7 2.2439e-05
0.0005 8 1.13566e-05
0.0005 9 5.79517e-06
0.0005 10 2.97731e-06
0.0005 11 1.53843e-06
0.0005 12 7.99041e-07
0.000525 1 0.00174615
0.000525 2 0.000780609
0.000525 3 0.000364139
0.000525 4 0.000174702
0.000525 5 8.55193e-05
0.000525 6 4.25043e-05
0.000525 7 2.13778e-05
0.000525 8 1.08543e-05
0.000525 9 5.55374e-06
0.000525 10 2.85975e-06
0.000525 11 1.48056e-06
0.000525 12 7.70282e-07
0.00055 1 0.00159687
0.00055 2 0.00071765
0.00055 3 0.000336757
0.00055 4 0.000162436
0.00055 5 7.9875e-05
0.00055 6 3.98465e-05
0.00055 7 2.01021e-05
0.00055 8 1.02324e-05
0.00055 9 5.24662e-06
0.00055 10 2.70648e-06
0.00055 11 1.4034e-06
0.00055 12 7.31129e-07
0.000575 1 0.0014667
0.000575 2 0.000661203
0.000575 3 0.000311539
0.000575 4 0.000150856
0.000575 5 7.44268e-05
0.000575 6 3.72301e-05
0.000575 7 1.88242e-05
0.000575 8 9.59969e-06
0.000575 9 4.92985e-06
0.000575 10 2.54644e-06
0.000575 11 1.32191e-06
0.000575 12 6.89367e-07
0.0006 1 0.00135944
0.0006 2 0.000614378
0.0006 3 0.00029037
0.0006 4 0.000141015
0.0006 5 6.97438e-05
0.0006 6 3.49582e-05
0.0006 7 1.77045e-05
0.0006 8 9.0408e-06
0.0006 9 4.64803e-06
0.0006 10 2.40314e-06
0.0006 11 1.24854e-06
0.0006 12 6.51559e-07
0.000625 1 0.0012739
0.000625 2 0.000577511
0.000625 3 0.000273729
0.000625 4 0.000133263
0.000625 5 6.60451e-05
0.000625 6 3.31588e-05
0.000625 7 1.68154e-05
0.000625 8 8.59595e-06
0.000625 9 4.42319e-06
0.000625 10 2.28856e-06
0.000625 11 1.18979e-06
0.000625 12 6.2133e-07
0.00065 1 0.00120593
0.00065 2 0.000548982
0.00065 3 0.000261015
0.00065 4 0.000127385
0.00065 5 6.32546e-05
0.00065 6 3.18069e-05
0.00065 7 1.61497e-05
0.00065 8 8.26388e-06
0.00065 9 4.25579e-06
0.00065 10 2.20355e-06
0.00065 11 1.14649e-06
0.00065 12 5.99168e-07
0.000675 1 0.00115039
0.000675 2 0.000526294
0.000675 3 0.000251083
0.000675 4 0.000122852
0.000675 5 6.11258e-05
0.000675 6 3.07852e-05
0.000675 7 1.5651e-05
0.000675 8 8.01698e-06
0.000675 9 4.13219e-06
0.000675 10 2.1411e-06
0.000675 11 1.11468e-06
0.000675 12 5.82857e-07
0.0007 1 0.00110245
0.0007 2 0.00050697
0.0007 3 0.000242726
0.0007 4 0.000119078
0.0007 5 5.93706e-05
0.0007 6 2.99507e-05
0.0007 7 1.52472e-05
0.0007 8 7.81884e-06
0.0007 9 4.03382e-06
0.0007 10 2.09177e-06
0.0007 11 1.08974e-06
0.0007 12 5.7016e-07
0.000725 1 0.0010584
0.000725 2 0.000489103
0.000725 3 0.000234992
0.000725 4 0.000115589
0.000725 5 5.77511e-05
0.000725 6 2.91828e-05
0.000725 7 1.48769e-05
0.000725 8 7.63779e-06
0.000725 9 3.94429e-06
0.000725 10 2.04708e-06
0.000725 11 1.06725e-06
0.000725 12 5.58756e-07
0.00075 1 0.00101591
0.00075 2 0.000471553
0.00075 3 0.00022731
0.00075 4 0.000112096
0.00075 5 5.61202e-05
0.00075 6 2.8406e-05
0.00075 7 1.45009e-05
0.00075 8 7.45348e-06
0.00075 9 3.85296e-06
0.00075 10 2.00142e-06
0.00075 11 1.04424e-06
0.00075 12 5.4708e-07
0.000775 1 0.000974014
0.000775 2 0.000453885
0.000775 3 0.000219463
0.000775 4 0.000108489
0.000775 5 5.44216e-05
0.000775 6 2.7591e-05
0.000775 7 1.4104e-05
0.000775 8 7.25779e-06
0.000775 9 3.7555e-06
0.000775 10 1.95247e-06
0.000775 11 1.01947e-06
0.000775 12 5.34463e-07
0.0008 1 0.000932696
0.0008 2 0.000436163
0.0008 3 0.00021149
0.0008 4 0.000104789
0.0008 5 5.26651e-05
0.0008 6 2.67425e-05
0.0008 7 1.36883e-05
0.0008 8 7.0518e-06
0.0008 9 3.65242e-06
0.0008 10 1.90047e-06
0.0008 11 9.93054e-07
0.000825 1 0.000892637
0.000825 2 0.000418783
0.000825 3 0.000203603
0.000825 4 0.000101105
0.000825 5 5.09076e-05
0.000825 6 2.58902e-05
0.000825 7 1.32694e-05
0.000825 8 6.84357e-06
0.000825 9 3.54796e-06
0.000825 10 1.84765e-06
0.000825 11 9.66162e-07
0.00085 1 0.000854088
0.00085 2 0.000401871
0.00085 3 0.000195859
0.00085 4 9.74617e-05
