# Shallow ironing benchmark: horizontal (x) component of the total reaction
# force on the top surface of the rounded block, from
#
#   S. Hartmann, J. Oliver, R. Weyler, J. Cante and J. Hernandez, "A contact
#   domain method for large deformation frictional contact problems. Part 2:
#   Numerical aspects", Computer Methods in Applied Mechanics and Engineering,
#   198(33-36), 2607-2631, 2009.
#
# Copied from the solid-benchmarks repository
# (https://github.com/solids4foam/solid-benchmarks, commit e51b66a),
# hyperElasticity/shallowIroning/data/hartmannOliverHorizontal.dat, where the
# benchmark case was prepared by Ivan Batistić. The curve was digitised from
# the published figure using WebPlotDigitizer (https://apps.automeris.io/wpd/).
#
# Column 1: normalised time; the vertical displacement is applied from 0 to 1
#           and the horizontal displacement from 1 to 2. The solids4foam time t
#           in (1, 6] s corresponds to 1 + (t - 1)/5.
# Column 2: magnitude of the horizontal reaction force.
# As in the benchmark plot script, multiply the forces by 100 to compare with
# the solids4foam force (N) on the 1 mm thick domain in
# postProcessing/0/solidForcesdisplacement.dat.
0.19763951895861892 -0.005681259727401411
0.22054782231150794 0.0017070206292233436
0.22818425828633343 0.0017241512183989727
0.23582127585523593 -0.0025063905334805625
0.24345662795019068 0.005426856691300053
0.25109309036111066 0.005250911264973013
0.2587294205915586 0.006040345916159318
0.2663653542805902 0.009725920799884769
0.274001605202755 0.01109458349757908
0.2816374067113146 0.0157455384588161
0.28927360476129055 0.01750035318751486
0.29690930052547265 0.022923612210763444
0.3045450755979379 0.02776764318750402
0.3121813265201026 0.029136305885198333
0.31981673148724626 0.0366834010789745
0.32745250655971153 0.041527432055714186
0.33508867817359306 0.04347532279991739
0.3427242946294919 0.04947780986967221
0.3503602018824293 0.05335646076890033
0.35799595051880023 0.058393567761142684
0.3656318577717375 0.062272218660370804
0.3732675006637309 0.06808162971462384
0.3809029849391577 0.07504949686189288
0.3885384100727108 0.08244930668443029
0.39617384147594886 0.08980332586270467
0.4035201658175484 0.09604746393170949
0.411733966094226 0.10449102751472417
0.4191381585764033 0.1106158620310369
0.4262385542014184 0.11728757175895055
0.4343514277393345 0.1234384148617691
0.4419870177591389 0.12963397794702747
0.4496229250120763 0.1335126288462547
0.45725798630999265 0.14356971224156467
0.4648937349463636 0.1486068192338088
0.47252948358273456 0.15364392622605116
0.48016507360253896 0.15983948931130953
0.4878006636223435 0.1660350523965679
0.4960724118179614 0.17377665115494523
0.5140712227594806 0.18374665405527768
0.52261580655572 0.19071656055840158
0.5297964062751028 0.20012858796839783
0.5374322077836626 0.20477954292963574
0.5450682635699617 0.20757338042146767
0.5527034142593659 0.2169775930846507
0.5602811015524953 0.22354505928411417
0.5674653563036431 0.23040659997902146
0.5756101074666613 0.23612557178402493
0.58324596184741 0.2403903747142584
0.5908816047394032 0.24619978576851143
0.5985167717816973 0.2554845651018107
0.6061525732902568 0.26013552006304863
0.6137884276710055 0.2644003229932821
0.62096963410014 0.26938124573173994
0.6290590789887263 0.28065296947385043
0.6366945632641532 0.2876208366211186
0.6443304176449016 0.29188563955135205
0.6519656375593845 0.3007842668536469
0.6596012804513778 0.30659367790789993
0.6672370290877487 0.3116307849001423
0.674872407618798 0.3193709561094211
0.6825083677439241 0.3228634549776448
0.6901439577637287 0.3290590180629023
0.6984157097728663 0.33677276477992457
0.7054148974223227 0.34320576697585103
0.7130503288255605 0.3505597861541254
0.720685522303949 0.35965148947192294
0.7276844329669101 0.36810746253606563
0.7359565461831568 0.3731831331325459
0.744228025019319 0.38289199867642765
0.7509375438907624 0.3923176153055259
0.7588626289041156 0.39678979879138865
0.7664974466486858 0.4086256740509908
0.7741333116038722 0.4128132465750225
0.7822236314908027 0.41769441991112277
0.7894039290833921 0.4293130303554351
0.7975484567095181 0.4366646038524049
0.8053107914491153 0.44672556047811707
0.8128188008773107 0.45516051983338546
0.8199453399193766 0.4610280806516531
0.8275805598338593 0.469926707953948
0.836488730566235 0.47728358223041756
0.8441239504807179 0.4861822095327124
0.8517592232673892 0.4946946848040028
0.8596838001318827 0.502878133488676
0.867029471774009 0.5138892621613733
0.8746652531161594 0.5186875024938491
0.8823007373915863 0.525655369641119
0.8899357986895027 0.535712453036429
0.8975712300927405 0.5430664722147025
0.9052064500072234 0.5519650995169973
0.9128418285382727 0.5597052707262762
0.9204770484527554 0.568603898028571
0.9281120568784831 0.5790471334548863
0.9357475411539098 0.5860150006021554
0.9433827610683925 0.5949136279044493
0.9510182453438194 0.6018814950517193
0.9586534123861135 0.6111662743850186
0.9662885794284075 0.6204510537183179
0.97392379934289 0.6293496810206132
0.9815590192573729 0.6382483083229076
0.9891945035327998 0.6452161754701766
0.9967224265250136 0.6559396927450853
0.9992224244471832 0.6651341611030133
1.000997937700583 0.6799963472272372
1.0055872822988579 0.7273746393862073
1.0062331585467195 0.7624901903991703
1.008264391722149 0.8001059663761874
1.010230639005166 0.8259825712240914
1.0122012020290723 0.8635209806716433
1.0145423120535173 0.9101734120870733
1.0177901360559698 0.9447413152240918
1.0209643444121668 0.9806605857449671
1.0230997147905332 1.017472696763857
1.0241390020526953 1.0530712354120206
1.0276898246423756 1.087170919217923
1.0296151019994366 1.1168168328316557
1.02974583132472 1.1513209199062184
1.031575354558708 1.1864759025543816
1.0340427032282553 1.2259351542558612
1.0368385581366604 1.2564088307182004
1.0390307039734965 1.3018568353547373
1.0430630370219818 1.3436545645034275
1.046654392944255 1.3949717101462493
1.0495416830933708 1.433681163931531
1.0568303955053338 1.4381733689442133
1.0641772072429598 1.4408578101343799
1.0708106124769594 1.4629385277752687
1.073453005247906 1.4921450030837269
