Time External Internal Kinetic Smoothing Viscosity
1.70184e-07 0.0119388 0.00596939 0 0 0
3.40368e-07 0.0168811 0.00828931 1.25508e-06 0 6.37792e-06
5.10551e-07 0.0222035 0.0108 6.54897e-06 0 1.53611e-07
6.80735e-07 0.0267196 0.0128508 1.75258e-05 0 1.41405e-07
8.50919e-07 0.0304311 0.0144706 3.55834e-05 0 1.18913e-07
1.0211e-06 0.0333758 0.0156919 6.2009e-05 0 1.16764e-07
1.19129e-06 0.0356859 0.0165918 9.83358e-05 0 1.09401e-07
1.36147e-06 0.0374919 0.0172415 0.00014598 0 9.99432e-08
1.53165e-06 0.0389101 0.017702 0.000206213 0 8.74059e-08
1.70184e-06 0.0400352 0.0180212 0.000280092 0 7.22333e-08
1.87202e-06 0.0409412 0.0182359 0.000368451 0 5.47623e-08
2.04221e-06 0.0416852 0.0183734 0.000471901 0 3.55738e-08
2.21239e-06 0.0423104 0.0184539 0.000590856 0 1.53774e-08
2.38257e-06 0.0428494 0.0184921 0.00072555 0 -4.9873e-09
2.55276e-06 0.0433268 0.0184987 0.000876063 0 -2.45762e-08
2.72294e-06 0.0437613 0.0184817 0.00104235 0 -4.23589e-08
2.89312e-06 0.0441667 0.0184466 0.00122424 0 -5.72387e-08
3.06331e-06 0.0445538 0.0183977 0.00142151 0 -6.80711e-08
3.23349e-06 0.0449307 0.0183379 0.00163382 0 -7.3683e-08
3.40368e-06 0.0453035 0.0182695 0.00186081 0 -7.28909e-08
3.57386e-06 0.0456771 0.0181943 0.00210206 0 -6.45188e-08
3.74404e-06 0.046055 0.0181135 0.00235712 0 -4.74147e-08
3.91423e-06 0.0464401 0.018028 0.00262552 0 -2.04673e-08
4.08441e-06 0.0468346 0.0179386 0.00290677 0 1.73803e-08
4.25459e-06 0.04724 0.017846 0.00320037 0 6.71174e-08
4.42478e-06 0.0476576 0.0177505 0.00350583 0 1.29655e-07
4.59496e-06 0.0480885 0.0176527 0.00382263 0 2.05817e-07
4.76515e-06 0.0485332 0.0175527 0.00415027 0 2.96333e-07
4.93533e-06 0.0489922 0.017451 0.00448826 0 4.01838e-07
5.10551e-06 0.049466 0.0173479 0.0048361 0 5.22863e-07
5.2757e-06 0.0499547 0.0172434 0.0051933 0 6.59846e-07
5.44588e-06 0.0504584 0.0171379 0.00555938 0 8.13127e-07
5.61607e-06 0.0509771 0.0170317 0.00593385 0 9.82956e-07
5.78625e-06 0.0515109 0.0169248 0.00631623 0 1.1695e-06
5.95643e-06 0.0520596 0.0168176 0.00670607 0 1.37286e-06
6.12662e-06 0.052623 0.0167102 0.00710288 0 1.59305e-06
6.2968e-06 0.0532011 0.016603 0.00750621 0 1.83007e-06
6.46698e-06 0.0537936 0.016496 0.0079156 0 2.08383e-06
6.63717e-06 0.0544003 0.0163896 0.00833059 0 2.35426e-06
6.80735e-06 0.0550209 0.0162841 0.00875074 0 2.64123e-06
6.97754e-06 0.0556553 0.0161796 0.0091756 0 2.94461e-06
7.14772e-06 0.0563032 0.0160764 0.00960474 0 3.2643e-06
7.3179e-06 0.0569643 0.0159748 0.0100377 0 3.60018e-06
7.48809e-06 0.0576385 0.0158751 0.0104742 0 3.95215e-06
7.65827e-06 0.0583253 0.0157775 0.0109137 0 4.32014e-06
7.82845e-06 0.0590247 0.0156823 0.0113558 0 4.7041e-06
